Input Date,Item Name,Calories (kcal),Protein (g),Carbohydrates (g),Sugar (g),Fat (g),Saturated Fat (g),Cholesterol (mg),Fiber (g),Omega-3 (mg),Notes,Photo,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6
28/4/2025 6:34pm,Nutri Soy Less Sugar (475ml),330,22,34,21,12,2,0,2.6,0,,,,,,,
28/4/2025 6:49pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
29/4/2025 1:53pm,Stuff'd Daily Bowl,625.5,31.7,55.9,11.6,29.2,6.2,74.8,11.5,0,,,,,,,
29/4/2025 6:20pm,Banana (200g),178,2.1,45,24,0.6,0.2,0,5.2,0,Large banana; natural carbs and fiber,,,,,,
29/4/2025 6:20pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
29/4/2025 6:20pm,Rolled Oats (63g),248,20,35.2,3.2,5.4,0.9,0,5.7,0,Plain rolled oats; high fiber and beta-glucan,,,,,,
29/4/2025 6:20pm,Lemon Flavoured Drink (325ml),54,0,13.1,12.8,0,0,0,0,0,Carbonated lemon drink with artificial sweeteners; low calorie,,,,,,
29/4/2025 6:20pm,Nectarine (130g),57,1.1,14,11.2,0.4,0,0,2.2,0,Sweet stone fruit; rich in vitamin C and fiber,,,,,,
29/4/2025 6:21pm,Nutri Soy Less Sugar (475ml),330,22,34,21,12,2,0,2.6,0,,,,,,,
29/4/2025 6:23pm,Salmon Duo Sushi Set (10 pieces),525,35,70,3,20,4,110,1.5,2000,Mix of raw and seared salmon nigiri with sesame,,,,,,
30/4/2025 9:17am,Rolled Oats (63g),248,20,35.2,3.2,5.4,0.9,0,5.7,0,Plain rolled oats; high fiber and beta-glucan,,,,,,
30/4/2025 9:17am,Nutri Soy Oats & Quinoa,296,20.6,28,24.6,11,2,0,4.6,0,,,,,,,
30/4/2025 11:59am,Stuff'd Extra Chicken Portion,223.7,16.5,6.8,3.2,14.3,4,71.1,3,0,,,,,,,
30/4/2025 12:01pm,Stuff'd Carrot,36,0.7,4,1.5,2,0.3,0,0.9,0,,,,,,,
30/4/2025 12:03pm,Stuff'd Sweet Thai Sauce,30,0,0.7,0.6,0,0,0,0,0,,,,,,,
30/4/2025 1:00pm,Stuff'd Daily Bowl,487,23,46.4,9.8,20.8,4.9,73.1,7.1,0,,,,,,,
30/4/2025 1:05pm,Lemon Flavoured Drink (325ml),54,0,13.1,12.8,0,0,0,0,0,Carbonated lemon drink with artificial sweeteners; low calorie,,,,,,
30/4/2025 6:43pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
30/4/2025 8:04pm,Soy-based drink (250ml),133,10.8,17.5,9.8,2.3,1,0,2,0,"Soy milk, plain",,,,,,
30/4/2025 8:04pm,1.5 scoops of ON Whey (Cookies & Cream),179,36,2.9,1.8,2,0.8,38,0,0,,,,,,,
1/5/2025 10:12am,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
1/5/2025 11:34am,Chicken Breast (130g),214,40,0,0,4.7,1.2,108,0,130,Lean grilled or baked chicken breast,,,,,,
1/5/2025 2:15pm,Soy-based drink (250ml),133,10.8,17.5,9.8,2.3,1,0,2,0,"Soy milk, plain",,,,,,
1/5/2025 2:16pm,1.5 scoops of ON Whey (Cookies & Cream),179,36,2.9,1.8,2,0.8,38,0,0,,,,,,,
1/5/2025 10:49pm,Grilled Chicken with Yellow Rice & Coleslaw,700,35,50,6,35,9,130,4,100,"Estimated: 1 grilled thigh, turmeric rice, ~1/3 cup coleslaw",,,,,,
1/5/2025 10:49pm,Chocolate Ice Cream (80ml),195,1.7,21.7,19.6,11.2,7,19,0.8,0,"High sugar, saturated fat; label-based",,,,,,
1/5/2025 10:50pm,IPA Beer (2 Pints),470,3.5,38,0,0,0,0,0,0,Estimated: ~235 kcal per pint; varies by brand (6–7% ABV),,,,,,
1/5/2025 10:50pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
2/5/2025 11:47am,Qiji Popiah (2 rolls),376,7.6,56,8,13,2.4,40,5,0,"Fresh turnip, egg, peanuts, sweet sauce, lettuce in thin skin",,,,,,
2/5/2025 11:48am,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
2/5/2025 2:19pm,Soy-based drink (250ml),133,10.8,17.5,9.8,2.3,1,0,2,0,"Soy milk, plain",,,,,,
2/5/2025 2:20pm,1.5 scoops of ON Whey (Cookies & Cream),179,36,2.9,1.8,2,0.8,38,0,0,,,,,,,
2/5/2025 6:32pm,Raw Salmon Sushi (12 pieces),624,42,84,4,18,3.6,120,2,2400,Revised estimate using upper-end typical portion size,,,,,,
2/5/2025 6:32pm,Pickled Ginger (10g),6,0.1,1.4,1,0,0,0,0.1,0,For palate cleansing; contains vinegar and a bit of sugar,,,,,,
2/5/2025 6:33pm,Chia Seeds in Water (15g),79,2.4,5.9,0,5.1,0.5,0,4.7,3300,Updated with label values (includes 4.3g ALA omega-3),,,,,,
3/5/2025 9:21am,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
3/5/2025 9:22am,Soy-based drink (250ml),133,10.8,17.5,9.8,2.3,1,0,2,0,"Soy milk, plain",,,,,,
3/5/2025 9:22am,1.5 scoops of ON Whey (Cookies & Cream),179,36,2.9,1.8,2,0.8,38,0,0,,,,,,,
3/5/2025 3:15pm,Grilled Chicken Burrito Bowl (with cheese & chips),700,42,55,4,32,9,9,1.3,0,"Includes grilled chicken, white rice, black beans, cheese, salsa, jalapeños, carrot, onion, and a few corn chips on the side",,,,,,
3/5/2025 3:16pm,Florida's Natural Orange Juice with Pulp (300g),135,2.1,30.6,25.2,0.6,0.1,66,0,150,High in vitamin C; contains natural sugars and pulp,,,,,,
3/5/2025 7:05pm,Teriyaki Chicken Don (with tamago),490,24,53,2.5,15,4,230,6,230,"Grilled chicken thigh with teriyaki glaze, white rice, small portion of tamago",,,,,,
3/5/2025 7:05pm,Salmon Nigiri – 1 piece,96,7,14,0.7,3,0.6,10,0.2,200,Raw salmon over vinegared rice,,,,,,
3/5/2025 7:05pm,Aburi Salmon Nigiri (with mayo/mentaiko) – 2 pieces,232,11,16,1.4,15,2.4,40,0.4,300,Torched salmon with mayo-based topping on vinegared rice,,,,,,
3/5/2025 7:05pm,Chia Seeds in Water (15g),79,2.4,5.9,0,5.1,0.5,0,4.7,3300,Updated with label values (includes 4.3g ALA omega-3),,,,,,
4/5/2025 6:00pm,Creme Brulee with Fruits,275,3.6,25.2,18.8,21,12.3,100,0.5,0,,image.png (https://v5.airtableusercontent.com/v3/u/41/41/1748419200000/MZnwiFzFBTufNwIiW3PRfw/KU6mTNDZJpdYzMidSD1P-2uLCoOaaXoxqi9205DuhJ9j2eMoboOuYhTwsW9pMD-lziK0bbgsJ4phIAyxTgyamfNRLApiZhtcD9Cyb1FtE0Vy1CBodyuIFtfFjw3ueT2KMxDGsCgxCpGVrWaPvoulmw/Z-CRbpIjVlU1CrYwALUcqDP3IuHKn4kus_5Tr1eJNwQ),,,,,
4/5/2025 6:10pm,"Salmon, Chicken, Noodles",790,53,43,9,40.5,10.8,250,5,1000,,image.png (https://v5.airtableusercontent.com/v3/u/41/41/1748419200000/35SEGl7ubSldH-mQi-XAhQ/sbNUqvY2BN0VJnNiU4uRKIgTfVh2pJW2pWw1Yj47ACulM9pQ_bEy34ZHZdscp_2Jhk9obNN1ZOFyj4OKgio2ewwCGsde7rMBjtwDEc5D89QtBiU-zOtQ-eD5xUz62R7a6ytDXcnP9Qi5uSVoOmL2UQ/i7qg5rEW3EUBDJWp3Cbufq814W3TqKbdpceXCSn7_R4),,,,,
4/5/2025 6:13pm,Cheese Plate,365,17,24,9,23,14,65,0.5,0,,image.png (https://v5.airtableusercontent.com/v3/u/41/41/1748419200000/nSmSwX1r_JImVhYmo6uQuw/azJe4ZYR7ZGiUYKa0IUsKHXsSqyQRPeluAPVi3Ju0xOqNBrnIRjMkrNFkipnRuUHZTWktealmRJKCBV5RA5AnXjqjRyga08546f5AcuhaYsbuZju1sLqbfwQfEi9-cQ9gc4Yy3Uiz_0DlIqDlGrqOA/qPsuTEF9qVm-VpIssI-9t1IUf6K2K6R_1GLwFYyLoto),,,,,
4/5/2025 6:15pm,"Watermelon, Melon, Tiramisu",551,13,74.5,63.5,24.5,16,160,2.5,0,,image.png (https://v5.airtableusercontent.com/v3/u/41/41/1748419200000/o7Y2Z0oF5JmaJ0UsPmQeWA/VFjG4d5KhhHQ6mQ_MpVn01bN3ADTDiHTVm5YkuTF3YVTuQ4DgQ_TXQ0CWidNu_bsq6C6IWpvLbHefcNnb0VPp9xOIbbKbNLg7Xg0xn40lzzGy2XTkLzbhjbxnGYjmFu9qAeWDkOETKPHHJ-ws4ayDg/JyRE2JAxZNiVjLkq18mJdWIyFlOybhEl5ArdqfWapUY),,,,,
5/5/2025 10:24am,Nutri Soy Less Sugar (475ml),330,22,34,21,12,2,0,2.6,0,,,,,,,
5/5/2025 10:24am,Rolled Oats (63g),248,20,35.2,3.2,5.4,0.9,0,5.7,0,Plain rolled oats; high fiber and beta-glucan,,,,,,
5/5/2025 10:24am,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
5/5/2025 10:27am,Chia Seeds in Water (15g),79,2.4,5.9,0,5.1,0.5,0,4.7,3300,Updated with label values (includes 4.3g ALA omega-3),,,,,,
5/5/2025 1:47pm,Chicken Ban Mian,475,30,55,5,15,3,275,5,110,,,,,,,
5/5/2025 6:45pm,Salmon Nigiri (6 pieces),252,12.4,34.8,0.3,6.3,1,10,0.2,1300,6 pieces of nigiri-style sushi with ~20g vinegared rice and ~8g raw salmon each,,,,,,
6/5/2025 8:31am,Nutri Soy Less Sugar (475ml),330,22,34,21,12,2,0,2.6,0,,,,,,,
6/5/2025 8:31am,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
6/5/2025 8:31am,Chia Seeds in Water (15g),79,2.4,5.9,0,5.1,0.5,0,4.7,3300,Updated with label values (includes 4.3g ALA omega-3),,,,,,
6/5/2025 8:31am,Rolled Oats (73g),275,9.3,40.7,0.9,6.2,1.1,0,9.3,0,,,,,,,
6/5/2025 11:47am,Chicken Ban Mian,500,30,60,5,16,4,80,3,0,,,,,,,
6/5/2025 6:42pm,Salmon Duo,480,28,66,15,10,2,100,2,2200,,,,,,,
7/5/2025 9:31am,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
7/5/2025 9:31am,Chia Seeds in Water (15g),79,2.4,5.9,0,5.1,0.5,0,4.7,3300,Updated with label values (includes 4.3g ALA omega-3),,,,,,
7/5/2025 1:23pm,Stuff'd Daily Bowl,566.4,30.9,55.2,13.7,23.3,5.2,73.1,12.3,0,,,,,,,
7/5/2025 1:39pm,Banana,105,1,27,21,0,0,0,4,0,,,,,,,
7/5/2025 7:38pm,Salmon Duo,480,28,66,15,10,2,100,2,2200,,,,,,,
7/5/2025 7:39pm,IPA Beer (2 Pints),470,3.5,38,0,0,0,0,0,0,Estimated: ~235 kcal per pint; varies by brand (6–7% ABV),,,,,,
8/5/2025 6:36pm,Chicken Ban Mian,500,30,60,5,16,4,80,3,0,,,,,,,
8/5/2025 6:36pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
8/5/2025 6:36pm,Chia Seeds in Water (15g),79,2.4,5.9,0,5.1,0.5,0,4.7,3300,Updated with label values (includes 4.3g ALA omega-3),,,,,,
8/5/2025 6:36pm,Salmon Duo,480,28,66,15,10,2,100,2,2200,,,,,,,
8/5/2025 7:39pm,Soy-based drink (250ml),133,10.8,17.5,9.8,2.3,1,0,2,0,"Soy milk, plain",,,,,,
8/5/2025 7:39pm,1.5 scoops of ON Whey (Cookies & Cream),179,36,2.9,1.8,2,0.8,38,0,0,,,,,,,
9/5/2025 12:28pm,Wheatgrass Luohan Tea (500ml),120,0,30,27,0,0,0,0,0,Sweetened herbal tea blend; sugar content estimated from typical bottled drink,,,,,,
9/5/2025 12:28pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
9/5/2025 12:30pm,"Teochew Fishball Noodles (dry, extra noodles, with lard, vinegar, ketchup)",660,24,80,7,24,6,75,3,0,"Egg noodles tossed in sauce, lard oil, vinegar, and ketchup; includes fishballs, fishcake slices, and clear soup",,,,,,
9/5/2025 12:32pm,Calamansi Drink (250ml),110,0,27,25,0,0,0,0.1,0,Sweetened lime juice with added sugar; common local beverage,,,,,,
9/5/2025 7:24pm,Rice and Soup (lean pork and fish),470,30,51,3,8.3,3.1,100,2.6,0,,,,,,,
9/5/2025 7:25pm,Banana (150g),134,1.6,34,18,0.5,0.2,0,3.9,0,"Medium-large banana, great pre-workout carb",,,,,,
10/5/2025 1:24pm,Roasted Chicken Rice (1 serving),620,30,55,3,26,7,125,1.5,100,"Rice with roasted chicken (with skin), soy-based sauce, and cucumber slices",,,,,,
10/5/2025 1:24pm,Chwee Kueh (5 pieces with chai poh),290,3,55,2,8,1.5,0,1.5,0,Traditional rice cakes with preserved radish topping,,,,,,
10/5/2025 1:25pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
10/5/2025 4:55pm,ON Whey (1.5 scoops) + Soy Drink (250ml),312,46.8,20.4,11.6,4.3,1.8,25,2,0,Post-workout shake; ON Whey + soy drink,,,,,,
10/5/2025 6:41pm,Baked Salmon (100g),208,22,0,0,13,3,55,0,2300,Plain baked; rich in protein and omega-3 (EPA/DHA),,,,,,
10/5/2025 6:42pm,"White Rice (140g, cooked)",182,3.6,39.1,0.1,0.3,0.1,0,0.4,0,Steamed jasmine or long-grain white rice,,,,,,
10/5/2025 6:59pm,Chia Seeds in Water (15g),79,2.4,5.9,0,5.1,0.5,0,4.7,3300,Updated with label values (includes 4.3g ALA omega-3),,,,,,
10/5/2025 7:34pm,Banana (175g),155,2,40,21,0.5,0.2,0,4.6,0,"Medium-large ripe banana; good source of natural carbs, potassium, and fiber",,,,,,
11/5/2025 1:00pm,Kickapoo 325ml,68,0,17.2,15.9,,,,,0,,,,,,,
11/5/2025 5:15pm,ON Whey (1.5 scoops) + Soy Drink (250ml),312,46.8,20.4,11.6,4.3,1.8,25,2,0,Post-workout shake; ON Whey + soy drink,,,,,,
11/5/2025 5:15pm,IPA Beer (1 Pint),235,1.7,19,0,0,0,0,0,0,Estimated: ~235 kcal per pint; varies by brand (6–7% ABV),,,,,,
11/5/2025 5:17pm,Chicken Mandi (no yogurt),620,42,60,3,22,6,140,2.5,100,"Spiced rice with grilled chicken leg, green chutney, and salad; yogurt not consumed",,,,,,
11/5/2025 5:17pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
11/5/2025 8:21pm,Baked Salmon (100g),208,22,0,0,13,3,55,0,2300,Plain baked; rich in protein and omega-3 (EPA/DHA),,,,,,
11/5/2025 8:21pm,"White Rice (140g, cooked)",182,3.6,39.1,0.1,0.3,0.1,0,0.4,0,Steamed jasmine or long-grain white rice,,,,,,
12/5/2025 4:59pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
12/5/2025 4:59pm,ON Whey (1.5 scoops) + Soy Drink (250ml),312,46.8,20.4,11.6,4.3,1.8,25,2,0,Post-workout shake; ON Whey + soy drink,,,,,,
12/5/2025 4:59pm,Chia Seeds in Water (15g),79,2.4,5.9,0,5.1,0.5,0,4.7,3300,Updated with label values (includes 4.3g ALA omega-3),,,,,,
12/5/2025 5:00pm,Qiji Popiah (2 rolls),376,7.6,56,8,13,2.4,40,5,0,"Fresh turnip, egg, peanuts, sweet sauce, lettuce in thin skin",,,,,,
12/5/2025 7:12pm,Baked Salmon (120g),250,26.4,0,0,15.6,3.6,66,0,2760,"Oven-baked, skin-on fillet; rich in EPA/DHA omega-3s",,,,,,
12/5/2025 7:12pm,"White Rice (110g, cooked)",143,2.8,30.7,0.1,0.2,0.1,0,0.3,0,Steamed jasmine or long-grain white rice,,,,,,
13/5/2025 9:29am,Soy-based drink (250ml),133,10.8,17.5,9.8,2.3,1,0,2,0,"Soy milk, plain",,,,,,
13/5/2025 9:29am,Rolled Oats (63g),248,20,35.2,3.2,5.4,0.9,0,5.7,0,Plain rolled oats; high fiber and beta-glucan,,,,,,
13/5/2025 9:29am,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
13/5/2025 9:30am,Soy-based drink (100ml),65,5,8.5,4.9,1.1,0.5,0,1,0,,,,,,,
13/5/2025 8:33pm,Chicken ban mian ,500,30,60,5,16,4,80,3,0,,,,,,,
13/5/2025 8:33pm,Salmon Duo,480,28,66,15,10,2,100,2,2200,,,,,,,
14/5/2025 9:20am,Soy-based drink (250ml),133,10.8,17.5,9.8,2.3,1,0,2,0,"Soy milk, plain",,,,,,
14/5/2025 9:20am,Rolled Oats (63g),248,20,35.2,3.2,5.4,0.9,0,5.7,0,Plain rolled oats; high fiber and beta-glucan,,,,,,
14/5/2025 9:20am,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
14/5/2025 9:22am,Banana (135g),121,1.4,34,17,0.4,0.1,0,3.5,0,"Medium banana; natural carbs, potassium, and fiber",,,,,,
14/5/2025 12:41pm,Chicken ban mian ,500,30,60,5,16,4,80,3,0,,,,,,,
14/5/2025 6:24pm,Salmon Duo,480,28,66,15,10,2,100,2,2200,,,,,,,
15/5/2025 7:46pm,Chia Seeds in Water (15g),79,2.4,5.9,0,5.1,0.5,0,4.7,3300,Updated with label values (includes 4.3g ALA omega-3),,,,,,
15/5/2025 7:46pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
15/5/2025 7:46pm,Soy-based drink (250ml),133,10.8,17.5,9.8,2.3,1,0,2,0,"Soy milk, plain",,,,,,
15/5/2025 7:56pm,Fish in Garlic Sauce (73g),123,15,3,0.5,6,1.2,40,0.2,200,Pan-seared or steamed fish with light garlic-based sauce,,,,,,
15/5/2025 7:57pm,Ngo Hiang Prawn Roll (46g),130,7,6,2,9,2.5,40,0.3,0,Fried beancurd roll with minced prawn and meat,,,,,,
15/5/2025 7:57pm,"Chicken Thigh (120g, roasted/grilled)",220,26,0,0,13,3.2,105,0,130,"Boneless thigh, skin-on or lightly trimmed",,,,,,
15/5/2025 7:57pm,Steamed Broccoli (223g),77,6.3,13.4,3.6,0.9,0.1,0,8,0,Plain steamed or lightly stir-fried,,,,,,
15/5/2025 7:58pm,"Eclairs (2 pieces, 67g total)",210,3,25,14,12,6,75,0.5,0,Chocolate or custard filled pastry,,,,,,
15/5/2025 7:58pm,"Aglio Olio Pasta (152g, plain)",275,7,45,1.5,9,1.3,0,2,0,"Olive oil, garlic, no cream or meat",,,,,,
15/5/2025 7:59pm,ON Whey (1.5 scoops) + Soy Drink (250ml),312,46.8,20.4,11.6,4.3,1.8,25,2,0,Post-workout shake; ON Whey + soy drink,,,,,,
16/5/2025 12:51pm,"Chicken Thigh (160g, roasted/grilled)",293,34.7,0,0,17.3,4.3,140,0,175,Skin-on or lightly trimmed; grilled/roasted,,,,,,
16/5/2025 12:51pm,Steamed Broccoli (100g),35,2.8,6,1.6,0.4,0.1,0,3.6,0,Lightly steamed or plain stir-fried,,,,,,
16/5/2025 12:58pm,"Black Rice (100g, cooked)",145,4.5,30,0.5,1.5,0.3,0,2.4,0,"Nutty-flavored whole grain, rich in antioxidants and fiber",,,,,,
16/5/2025 2:13pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
16/5/2025 8:11pm,Salmon Duo,480,28,66,15,10,2,100,2,2200,,,,,,,
17/5/2025 1:57pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
17/5/2025 1:57pm,Qiji Popiah (2 rolls),376,7.6,56,8,13,2.4,40,5,0,"Fresh turnip, egg, peanuts, sweet sauce, lettuce in thin skin",,,,,,
17/5/2025 4:33pm,ON Whey (1.5 scoops) + Soy Drink (250ml),312,46.8,20.4,11.6,4.3,1.8,25,2,0,Post-workout shake; ON Whey + soy drink,,,,,,
17/5/2025 7:01pm,"White Rice (136g, cooked)",177,3.4,37.9,0.1,0.3,0.1,0,0.3,0,Steamed jasmine or long-grain white rice,,,,,,
17/5/2025 7:01pm,Baked Salmon (100g),208,22,0,0,13,3,55,0,2300,"Oven-baked, skin-on fillet; rich in EPA/DHA omega-3s",,,,,,
17/5/2025 7:01pm,IKEA Vegetable Medallion (1 pc ~40g),130,3,10,1,9,6,20,2,0,"Made with carrots, broccoli, corn; lightly fried or baked",,,,,,
18/5/2025 6:52pm,Blackmores Fish Oil 1000 (2 capsules),20,0,0,0,2,0,0,0,600,EPA 360mg + DHA 240mg,,,,,,
18/5/2025 6:53pm,Stuff'd Chicken Daily Bowl,566.4,30.9,55.2,13.7,23.3,5.2,73.1,12.3,0,,,,,,,
18/5/2025 7:26pm,"Mixed Plate (White Rice, Sweet Potato, Edamame, Lean Pork, Fried Tofu with Sauce)",473,21.5,59.5,5.7,15.7,3.4,25,5.6,150,"Mixed home meal with ~150g rice, 60g sweet potato, 25g edamame, 40g lean pork, 50g fried tofu with sauce",,,,,,
18/5/2025 7:29pm,Honey Lemon Drink (500ml),120,0,30,28,0,0,0,0,0,Sweetened lemon tea-style beverage; estimate based on common bottled drink,,,,,,
18/5/2025 7:43pm,ON Whey (1.5 scoops) + Soy Drink (250ml),312,46.8,20.4,11.6,4.3,1.8,25,2,0,Post-workout shake; ON Whey + soy drink,,,,,,
